Ethiopia,,Addis Ababa,Family Cozy Bed and Breakfast,http://www.hostelbookers.com/hostels/ethiopia/addis-ababa/64633/
Ethiopia,,Addis Ababa,The Babogaya Lake Viewpoint Lodge,http://www.hostelbookers.com/hostels/ethiopia/addis-ababa/80911/
Gambia,,Kotu Stream,Palm Beach Hotel,http://www.hostelbookers.com/hotels/gambia/kotu-stream/31757/
Gambia,,Kotu West,Kotu Island Lodge,http://www.hostelbookers.com/hotels/gambia/kotu-west/98439/
Gambia,,Serrekunda,Badala Park Hotel,http://www.hostelbookers.com/hotels/gambia/serrekunda/31756/
Ghana,,Accra,Pink Hostel,http://www.hostelbookers.com/hostels/ghana/accra/30847/
Ghana,,Accra,Sikaso Beach Hostel,http://www.hostelbookers.com/hostels/ghana/accra/40549/
Ghana,,Accra,The Hostel,http://www.hostelbookers.com/hostels/ghana/accra/87247/
Ghana,,Accra,African Royal Beach Hotel,http://www.hostelbookers.com/hotels/ghana/accra/29950/
Ghana,,Accra,Meaglent Hotel,http://www.hostelbookers.com/hotels/ghana/accra/45429/
Ghana,,Accra,Legassi Gardens,http://www.hostelbookers.com/hostels/ghana/accra/51261/
Ghana,,Accra,Meet Me There African Home Lodge,http://www.hostelbookers.com/hostels/ghana/accra/51772/
Ghana,,Accra,El'Orr Castle & the Jazz Court,http://www.hostelbookers.com/hotels/ghana/accra/48735/
Ghana,,Accra,Osda House,http://www.hostelbookers.com/hostels/ghana/accra/95878/
Ghana,,Accra,xiLodge,http://www.hostelbookers.com/hostels/ghana/accra/66225/
Ghana,,Accra,Accra Lodge,http://www.hostelbookers.com/hostels/ghana/accra/78560/
Ghana,,Accra,WOLTON GUEST HOUSE,http://www.hostelbookers.com/hostels/ghana/accra/59483/
Ghana,,Accra,Chelsea Inn,http://www.hostelbookers.com/hostels/ghana/accra/60911/
Ghana,,Accra,African Regent Hotel,http://www.hostelbookers.com/hotels/ghana/accra/80170/
