BBQ
Safe Deposit Box
Tours/Travel Desk
Child Friendly
Taxes Included
24 Hour Reception
Air Conditioning
Airport Transfers
Bar
Breakfast Included
Cable TV
Currency Exchange
Direct Dial Telephone
Fax Service
Free City Maps
Hairdryers
Housekeeping
Internet Access
Laundry Facilities
Lounge
Meeting Room
Minibar
Outdoor Swimming Pool
Outdoor Terrace
Parking
Restaurant
Safe Deposit Box
Tours/Travel Desk
Child Friendly
Non Smoking
Taxes Included
24 Hour Reception
BBQ
Book Exchange
Breakfast Not Included
Currency Exchange
Free Parking
Kitchen
Laundry Facilities
Linen Included
Tea/Coffee Making Facilities
Washing machine
Child Friendly
Credit Cards Not Accepted
Taxes Included
Bicycle Parking
Breakfast Not Included
Cable TV
Cafe
Common Room
Free Internet Access
Internet Access
Linen Included
Luggage Storage
Towels for hire
Bicycle Parking
Common Room
Free Parking
Free WiFi
Hot Showers
Housekeeping
Laundry Facilities
Linen Included
Parking
Washing machine
Wheelchair Accessible
Non Smoking
BBQ
Breakfast Not Included
Free Parking
Linen Included
Towels for hire
Wheelchair Accessible
24 Hour Reception
24 Hour Security
Adaptors
Airport Transfers
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cable TV
Common Room
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Hairdryers
Hairdryers For Hire
Hot Showers
Kitchen
Linen Included
Lockers
Luggage Storage
Mini-Supermarket
Parking
Postal Service
Reading Light
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Towels Included
Non Smoking
Taxes Included
24 Hour Reception
Adaptors
BBQ
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cable TV
Common Room
DVD's
Free City Maps
Free WiFi
Hairdryers
Hot Showers
Internet Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Outdoor Terrace
Parking
Pool Table
Reading Light
Safe Deposit Box
Tea/Coffee Making Facilities
Tours/Travel Desk
Towels for hire
Washing machine
Wii
Credit Cards Accepted
Non Smoking
Taxes Included
24 Hour Reception
24 Hour Security
Bicycle Parking
Breakfast Not Included
Cafe
Common Room
Elevator
Free City Maps
Free Parking
Free WiFi
Hot Showers
Internet Access
Key Card Access
Kitchen
Laundry Facilities
Linen Included
Lockers
Luggage Storage
Meeting Room
Parking
Reading Light
Tours/Travel Desk
Vending Machines
Washing machine
Wheelchair Accessible
Child Friendly
Non Smoking
Taxes Included
24 Hour Reception
24 Hour Security
Adaptors
BBQ
Bicycle Hire
Bicycle Parking
Board games
Book Exchange
Breakfast Included
Cable TV
Card Phones
Common Room
DVD's
Free City Maps
Free Internet Access
Free Parking
Free WiFi
Foosball
Games Room
Hairdryers
Hot Showers
Housekeeping
Internet Access
Kitchen
Laundry Facilities
Linen Included
Luggage Storage
